Column1;Column2;Column3;Column4
Estimator;Parameters;Scaler;classfication report
KNeighborsClassifier();{'estimator__algorithm': 'ball_tree', 'estimator__n_neighbors': 3, 'estimator__weights': 'distance'};StandardScaler();{'0': {'precision': 0.9997594340138435, 'recall': 0.9992240437158469, 'f1-score': 0.9994916671677115, 'support': 91500}, '1': {'precision': 0.9916949350801263, 'recall': 0.9974117647058823, 'f1-score': 0.9945451346120007, 'support': 8500}, 'accuracy': 0.99907, 'macro avg': {'precision': 0.9957271845469848, 'recall': 0.9983179042108646, 'f1-score': 0.9970184008898562, 'support': 100000}, 'weighted avg': {'precision': 0.9990739516044774, 'recall': 0.99907, 'f1-score': 0.9990712119004762, 'support': 100000}}
KNeighborsClassifier();{'estimator__algorithm': 'auto', 'estimator__n_neighbors': 3, 'estimator__weights': 'distance'};MinMaxScaler();{'0': {'precision': 0.9997485074463665, 'recall': 0.9992459016393442, 'f1-score': 0.9994971413579369, 'support': 91500}, '1': {'precision': 0.9919260472735782, 'recall': 0.9972941176470588, 'f1-score': 0.9946028393758065, 'support': 8500}, 'accuracy': 0.99908, 'macro avg': {'precision': 0.9958372773599724, 'recall': 0.9982700096432016, 'f1-score': 0.9970499903668717, 'support': 100000}, 'weighted avg': {'precision': 0.9990835983316794, 'recall': 0.99908, 'f1-score': 0.9990811256894558, 'support': 100000}}
KNeighborsClassifier();{'estimator__algorithm': 'brute', 'estimator__n_neighbors': 3, 'estimator__weights': 'distance'};RobustScaler();{'0': {'precision': 0.9997594340138435, 'recall': 0.9992240437158469, 'f1-score': 0.9994916671677115, 'support': 91500}, '1': {'precision': 0.9916949350801263, 'recall': 0.9974117647058823, 'f1-score': 0.9945451346120007, 'support': 8500}, 'accuracy': 0.99907, 'macro avg': {'precision': 0.9957271845469848, 'recall': 0.9983179042108646, 'f1-score': 0.9970184008898562, 'support': 100000}, 'weighted avg': {'precision': 0.9990739516044774, 'recall': 0.99907, 'f1-score': 0.9990712119004762, 'support': 100000}}
LogisticRegression(max_iter=1000);{'estimator__C': 0.1, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'};StandardScaler();{'0': {'precision': 0.9875839089405585, 'recall': 0.887551912568306, 'f1-score': 0.934899730619575, 'support': 91500}, '1': {'precision': 0.4209252588923908, 'recall': 0.8798823529411764, 'f1-score': 0.5694380995888534, 'support': 8500}, 'accuracy': 0.8869, 'macro avg': {'precision': 0.7042545839164747, 'recall': 0.8837171327547413, 'f1-score': 0.7521689151042141, 'support': 100000}, 'weighted avg': {'precision': 0.9394179236864644, 'recall': 0.8869, 'f1-score': 0.9038354919819636, 'support': 100000}}
LogisticRegression(max_iter=1000);{'estimator__C': 10, 'estimator__penalty': 'l1', 'estimator__solver': 'saga'};MinMaxScaler();{'0': {'precision': 0.9877302107044174, 'recall': 0.8868306010928961, 'f1-score': 0.9345649081789545, 'support': 91500}, '1': {'precision': 0.41979044097047125, 'recall': 0.8814117647058823, 'f1-score': 0.5687175010437621, 'support': 8500}, 'accuracy': 0.88637, 'macro avg': {'precision': 0.7037603258374443, 'recall': 0.8841211828993892, 'f1-score': 0.7516412046113583, 'support': 100000}, 'weighted avg': {'precision': 0.9394553302770321, 'recall': 0.88637, 'f1-score': 0.9034678785724631, 'support': 100000}}
LogisticRegression(max_iter=1000);{'estimator__C': 1, 'estimator__penalty': 'l2', 'estimator__solver': 'liblinear'};RobustScaler();{'0': {'precision': 0.9877184867812454, 'recall': 0.8868524590163934, 'f1-score': 0.9345717971161376, 'support': 91500}, '1': {'precision': 0.4198049764626765, 'recall': 0.8812941176470588, 'f1-score': 0.5687063467962343, 'support': 8500}, 'accuracy': 0.88638, 'macro avg': {'precision': 0.703761731621961, 'recall': 0.8840732883317262, 'f1-score': 0.751639071956186, 'support': 100000}, 'weighted avg': {'precision': 0.939445838404167, 'recall': 0.88638, 'f1-score': 0.9034732338389458, 'support': 100000}}
DecisionTreeClassifier();{'estimator__criterion': 'gini', 'estimator__max_depth': 3, 'estimator__splitter': 'best'};StandardScaler();{'0': {'precision': 0.9701737830415743, 'recall': 1.0, 'f1-score': 0.9848611238180321, 'support': 91500}, '1': {'precision': 1.0, 'recall': 0.6690588235294118, 'f1-score': 0.8017198844012123, 'support': 8500}, 'accuracy': 0.97187, 'macro avg': {'precision': 0.9850868915207871, 'recall': 0.834529411764706, 'f1-score': 0.8932905041096222, 'support': 100000}, 'weighted avg': {'precision': 0.9727090114830406, 'recall': 0.97187, 'f1-score': 0.9692941184676025, 'support': 100000}}
DecisionTreeClassifier();{'estimator__criterion': 'gini', 'estimator__max_depth': 3, 'estimator__splitter': 'best'};MinMaxScaler();{'0': {'precision': 0.9701737830415743, 'recall': 1.0, 'f1-score': 0.9848611238180321, 'support': 91500}, '1': {'precision': 1.0, 'recall': 0.6690588235294118, 'f1-score': 0.8017198844012123, 'support': 8500}, 'accuracy': 0.97187, 'macro avg': {'precision': 0.9850868915207871, 'recall': 0.834529411764706, 'f1-score': 0.8932905041096222, 'support': 100000}, 'weighted avg': {'precision': 0.9727090114830406, 'recall': 0.97187, 'f1-score': 0.9692941184676025, 'support': 100000}}
DecisionTreeClassifier();{'estimator__criterion': 'gini', 'estimator__max_depth': 3, 'estimator__splitter': 'best'};RobustScaler();{'0': {'precision': 0.9701737830415743, 'recall': 1.0, 'f1-score': 0.9848611238180321, 'support': 91500}, '1': {'precision': 1.0, 'recall': 0.6690588235294118, 'f1-score': 0.8017198844012123, 'support': 8500}, 'accuracy': 0.97187, 'macro avg': {'precision': 0.9850868915207871, 'recall': 0.834529411764706, 'f1-score': 0.8932905041096222, 'support': 100000}, 'weighted avg': {'precision': 0.9727090114830406, 'recall': 0.97187, 'f1-score': 0.9692941184676025, 'support': 100000}}
