Estimator,parameters,best_params,Scaler,Sampler,Clusterer,Feature Selector,Interaction feature,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,accuracy
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},StandardScaler,OverSampler,KMeans,passthrough,passthrough,0.9805194805194806,0.8435754189944135,0.9069069069069069,0.391304347826087,0.8571428571428571,0.5373134328358209,0.6859119141727837,0.8503591380686353,0.7221101698713639,0.9186518915866742,0.845,0.8680995921294428,0.845
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,KMeans,passthrough,PolynomialFeatures,0.9558011049723757,0.9664804469273743,0.9611111111111111,0.6842105263157895,0.6190476190476191,0.6500000000000001,0.8200058156440826,0.7927640329874968,0.8055555555555556,0.9272840942134342,0.93,0.9284444444444445,0.93
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,KMeans,SelectKBest,passthrough,0.9642857142857143,0.9050279329608939,0.9337175792507205,0.46875,0.7142857142857143,0.5660377358490566,0.7165178571428572,0.8096568236233042,0.7498776575498886,0.9122544642857143,0.885,0.8951111956935458,0.885
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,KMeans,SelectKBest,PolynomialFeatures,0.953757225433526,0.9217877094972067,0.9375,0.48148148148148145,0.6190476190476191,0.5416666666666666,0.7176193534575037,0.7704176642724129,0.7395833333333333,0.9041682723185613,0.89,0.8959375,0.89
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,KMeans,SelectFpr,passthrough,0.9653179190751445,0.9329608938547486,0.9488636363636364,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.76043673731535,0.8236233040702314,0.7869318181818182,0.9222928709055878,0.91,0.9148579545454545,0.91
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,KMeans,SelectFpr,PolynomialFeatures,0.9695121951219512,0.888268156424581,0.9271137026239067,0.4444444444444444,0.7619047619047619,0.5614035087719298,0.7069783197831978,0.8250864591646714,0.7442586056979182,0.914380081300813,0.875,0.8887141322694491,0.875
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,passthrough,passthrough,passthrough,0.9542857142857143,0.9329608938547486,0.943502824858757,0.52,0.6190476190476191,0.5652173913043478,0.7371428571428571,0.7760042564511838,0.7543601080815524,0.9086857142857143,0.9,0.9037828543355441,0.9
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,OverSampler,passthrough,passthrough,PolynomialFeatures,0.9649122807017544,0.9217877094972067,0.9428571428571428,0.5172413793103449,0.7142857142857143,0.6000000000000001,0.7410768300060496,0.8180367118914604,0.7714285714285715,0.9179068360556564,0.9,0.9068571428571428,0.9
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,passthrough,SelectKBest,passthrough,0.96,0.9385474860335196,0.9491525423728814,0.56,0.6666666666666666,0.6086956521739131,0.76,0.8026070763500931,0.7789240972733973,0.9179999999999999,0.91,0.9134045689019898,0.91
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,passthrough,SelectKBest,PolynomialFeatures,0.9545454545454546,0.9385474860335196,0.9464788732394367,0.5416666666666666,0.6190476190476191,0.5777777777777778,0.7481060606060606,0.7787975525405693,0.7621283255086073,0.9111931818181819,0.905,0.9077652582159625,0.905
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,passthrough,SelectFpr,passthrough,0.9661016949152542,0.9553072625698324,0.9606741573033708,0.6521739130434783,0.7142857142857143,0.6818181818181819,0.8091378039793662,0.8347964884277734,0.8212461695607763,0.9331392778187176,0.93,0.931394279877426,0.93
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,OverSampler,passthrough,SelectFpr,PolynomialFeatures,0.9659090909090909,0.9497206703910615,0.9577464788732395,0.625,0.7142857142857143,0.6666666666666666,0.7954545454545454,0.8320031923383879,0.812206572769953,0.9301136363636364,0.925,0.9271830985915492,0.925
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,UnderSampler,KMeans,passthrough,passthrough,0.9731543624161074,0.8100558659217877,0.8841463414634146,0.3333333333333333,0.8095238095238095,0.4722222222222222,0.6532438478747203,0.8097898377227986,0.6781842818428184,0.9059731543624161,0.81,0.8408943089430894,0.81
